stock_code,trade_status,final_pnl,holding_days,MFE,MAE,raw_score_v12,best_ma,deep_touches,burst_ratio,ma_slope,drop_velocity,vol_ratio,amplitude
sh600113,持仓到期,-0.0324,8,0.0211,-0.0445,182,200,4,0.2962,0.0832,-0.1413,0.9566,0.5751
sh603655,止盈成功,0.0980,2,0.1040,-0.0012,136,200,5,0.2924,0.0357,-0.1088,0.5610,0.4377
sh688316,止盈成功,0.0980,4,0.1672,0.0000,166,90,9,0.3998,0.0511,-0.1639,0.7778,0.7564
sh600623,止盈成功,0.0980,4,0.1399,0.0000,158,60,5,0.2808,0.1109,-0.1375,0.4380,0.7147
sh603232,止盈成功,0.0750,5,0.1219,-0.0081,233,200,9,0.4142,0.0410,-0.1446,0.3671,1.1356
sh601600,止盈成功,0.0980,2,0.1402,0.0000,174,120,9,0.3577,0.0699,-0.1695,0.8452,1.1049
sh600888,止盈成功,0.0750,5,0.0871,0.0000,178,200,9,0.2762,0.0223,-0.1560,0.4275,0.3642
sh688680,未成交,0.0000,0,0.0000,0.0000,125,200,17,0.5761,0.0162,-0.1661,0.7450,1.0588
sh600569,持仓到期,0.0185,6,0.0614,0.0000,170,240,8,0.2695,0.0197,-0.2049,0.4666,0.3702
sh600819,持仓到期,0.0295,6,0.0545,0.0000,136,240,7,0.2593,0.0255,-0.0915,1.0010,0.4435
sh603315,止盈成功,0.0980,1,0.1653,0.0000,70,240,10,0.2882,0.0034,-0.1210,0.5807,0.4303
sh688600,止盈成功,0.0750,5,0.1332,-0.0075,120,200,8,0.2779,0.0197,-0.0982,0.6917,0.4993
sh600021,止盈成功,0.0750,6,0.0839,-0.0102,178,200,5,0.3509,0.0601,-0.1230,0.4304,0.7510
sh603057,持仓到期,0.0023,8,0.0842,-0.0267,213,90,8,0.4537,0.0824,-0.1633,0.4713,1.1158
sh688326,止盈成功,0.0750,7,0.0884,-0.0150,62,150,19,0.3958,0.0300,-0.1057,1.0789,0.8391
sh688549,止盈成功,0.0980,1,0.1184,0.0000,62,240,10,0.2736,0.0114,-0.1145,0.7591,0.3929
sh603090,止盈成功,0.0980,1,0.1260,0.0000,175,120,7,0.6421,0.0559,-0.0705,0.8769,1.4178
sz300690,止盈成功,0.0750,5,0.0971,0.0000,216,240,6,0.4151,0.0318,-0.2793,0.4901,0.4725
sz002270,持仓到期,0.0078,5,0.0434,-0.0348,149,120,9,0.3729,0.0687,-0.1280,0.6714,0.9715
sz002164,止盈成功,0.0980,3,0.1583,0.0000,65,240,9,0.2322,0.0255,-0.0613,0.7020,0.6341
sz002284,止盈成功,0.0750,5,0.0849,0.0000,158,200,3,0.4043,0.0208,-0.1497,1.4986,0.6170
sz002706,持仓到期,0.0485,5,0.0672,-0.0334,157,240,9,0.3054,0.0167,-0.1588,0.7813,0.4251
sz300641,持仓到期,-0.0009,6,0.0430,-0.0068,155,60,16,0.2785,0.0528,-0.2190,0.5911,0.5023
sz300602,未成交,0.0000,0,0.0000,0.0000,208,200,7,0.4058,0.0459,-0.1437,0.6394,0.5860
sz000655,持仓到期,-0.0241,6,0.0623,-0.0346,120,240,8,0.3697,0.0238,-0.1283,0.7075,0.4671
sz300836,止盈成功,0.0980,2,0.1339,0.0000,153,150,5,0.3320,0.0359,-0.1060,0.5414,0.4996
sz300373,未成交,0.0000,0,0.0000,0.0000,99,150,8,0.3186,0.0356,-0.0974,1.3863,0.5178
sz300250,持仓到期,0.0527,6,0.0778,0.0000,112,240,9,0.3499,0.0184,-0.0753,0.6198,0.7398
sz300446,持仓到期,0.0202,5,0.0471,-0.0023,86,200,12,0.2931,0.0176,-0.0726,0.9651,0.9596
sz300428,持仓到期,0.0093,5,0.0330,-0.0059,137,240,9,0.2978,0.0112,-0.1232,0.5421,0.3944
sz300921,持仓到期,0.0187,5,0.0530,-0.0212,101,150,14,0.3808,0.0055,-0.1055,0.6853,0.6507
sz300410,止盈成功,0.0980,2,0.1337,0.0000,114,240,8,0.2195,0.0304,-0.1304,0.5463,0.4222
sz002658,持仓到期,0.0154,8,0.0457,-0.0329,183,240,5,0.4013,0.0258,-0.1539,0.6676,0.5148
