=== DAILY_MA_PULLBACK 策略筛选报告 ===
扫描时间: 2025-08-13 15:50:00
处理文件数: 8968
处理耗时: 2.29 秒
发现信号数: 410
历史信号总数: 410
平均胜率: 0.0%
平均收益率: 0.1%
平均达峰天数: 0.0 天

=== 前10名表现最佳股票 ===
 1. sh688291 - 胜率: 0.0%, 收益: 6.9%, 天数: 0.0 天
 2. sz002683 - 胜率: 0.0%, 收益: 6.1%, 天数: 0.0 天
 3. sz000657 - 胜率: 0.0%, 收益: 5.2%, 天数: 0.0 天
 4. sh688425 - 胜率: 0.0%, 收益: 4.8%, 天数: 0.0 天
 5. sz002067 - 胜率: 0.0%, 收益: 3.6%, 天数: 0.0 天
 6. sh600010 - 胜率: 0.0%, 收益: 3.1%, 天数: 0.0 天
 7. sh600801 - 胜率: 0.0%, 收益: 2.3%, 天数: 0.0 天
 8. sh600380 - 胜率: 0.0%, 收益: 0.0%, 天数: 0.0 天
 9. sh601388 - 胜率: 0.0%, 收益: 0.0%, 天数: 0.0 天
10. sh600015 - 胜率: 0.0%, 收益: 0.0%, 天数: 0.0 天

=== 深度扫描结果 (多线程) ===
深度分析成功: 410/410
A级股票发现: 65
价格评估完成: 65
买入推荐: 210

sz300395: 74.8分, ¥75.58, 信心度: 74.8%
sz002258: 79.3分, ¥12.28, 信心度: 79.3%
sz002412: 82.2分, ¥6.88, 信心度: 82.2%
sz002880: 81.6分, ¥29.67, 信心度: 81.6%
sz000617: 74.7分, ¥8.43, 信心度: 74.7%
sz002382: 80.9分, ¥6.37, 信心度: 80.9%
sz000822: 81.3分, ¥6.04, 信心度: 81.3%
sz002644: 74.7分, ¥9.51, 信心度: 74.7%
sz300021: 76.0分, ¥5.52, 信心度: 76.0%
sz002086: 74.9分, ¥2.86, 信心度: 74.9%
sz002030: 79.5分, ¥7.13, 信心度: 79.5%
sz300528: 74.9分, ¥17.89, 信心度: 74.9%
sz002883: 74.1分, ¥12.72, 信心度: 74.1%
sz002961: 72.2分, ¥21.72, 信心度: 72.2%
sz002082: 74.2分, ¥7.40, 信心度: 74.2%
sz000930: 74.0分, ¥5.94, 信心度: 74.0%
sz002478: 81.7分, ¥5.58, 信心度: 81.7%
sz000850: 82.7分, ¥4.60, 信心度: 82.7%
