=== DAILY_MA_PULLBACK 策略筛选报告 ===
扫描时间: 2025-08-13 15:14:03
处理文件数: 8968
处理耗时: 2.31 秒
发现信号数: 1030
历史信号总数: 1030
平均胜率: 0.0%
平均收益率: 1.2%
平均达峰天数: 0.0 天

=== 前10名表现最佳股票 ===
 1. sz300752 - 胜率: 0.0%, 收益: 20.5%, 天数: 0.0 天
 2. sz300702 - 胜率: 0.0%, 收益: 19.9%, 天数: 0.0 天
 3. sz300158 - 胜率: 0.0%, 收益: 18.9%, 天数: 0.0 天
 4. sh688228 - 胜率: 0.0%, 收益: 14.6%, 天数: 0.0 天
 5. sz300255 - 胜率: 0.0%, 收益: 14.3%, 天数: 0.0 天
 6. sz300314 - 胜率: 0.0%, 收益: 13.7%, 天数: 0.0 天
 7. sh600172 - 胜率: 0.0%, 收益: 12.2%, 天数: 0.0 天
 8. sz300669 - 胜率: 0.0%, 收益: 12.2%, 天数: 0.0 天
 9. sz300264 - 胜率: 0.0%, 收益: 12.2%, 天数: 0.0 天
10. sz000026 - 胜率: 0.0%, 收益: 12.1%, 天数: 0.0 天

=== 深度扫描结果 (多线程) ===
深度分析成功: 1030/1030
A级股票发现: 373
价格评估完成: 373
买入推荐: 805

sz002486: 81.6分, ¥2.87, BUY (信心度: 81.6%) [已评估]
sh688156: 82.5分, ¥21.78, BUY (信心度: 82.5%) [已评估]
sh600435: 81.9分, ¥17.56, BUY (信心度: 81.9%) [已评估]
sz002056: 80.3分, ¥16.16, BUY (信心度: 80.3%) [已评估]
sz002419: 82.3分, ¥5.91, BUY (信心度: 82.3%) [已评估]
sz002034: 82.5分, ¥17.42, BUY (信心度: 82.5%) [已评估]
sh600613: 81.5分, ¥7.07, BUY (信心度: 81.5%) [已评估]
sh688570: 80.2分, ¥22.34, BUY (信心度: 80.2%) [已评估]
sz000789: 80.8分, ¥6.28, BUY (信心度: 80.8%) [已评估]
sz002054: 82.8分, ¥7.25, BUY (信心度: 82.8%) [已评估]
sz000823: 81.2分, ¥14.28, BUY (信心度: 81.2%) [已评估]
sz000166: 81.9分, ¥5.39, BUY (信心度: 81.9%) [已评估]
sz002687: 82.0分, ¥4.90, BUY (信心度: 82.0%) [已评估]
sz002761: 81.7分, ¥9.73, BUY (信心度: 81.7%) [已评估]
sz002379: 82.2分, ¥15.50, BUY (信心度: 82.2%) [已评估]
sz000935: 80.7分, ¥19.95, BUY (信心度: 80.7%) [已评估]
sz000813: 81.3分, ¥4.33, BUY (信心度: 81.3%) [已评估]
sz002895: 81.7分, ¥25.18, BUY (信心度: 81.7%) [已评估]
sz002763: 82.0分, ¥7.37, BUY (信心度: 82.0%) [已评估]
sz002479: 81.9分, ¥5.40, BUY (信心度: 81.9%) [已评估]
sh600351: 81.4分, ¥7.65, BUY (信心度: 81.4%) [已评估]
sz002116: 81.6分, ¥10.70, BUY (信心度: 81.6%) [已评估]
sz002928: 80.9分, ¥8.62, BUY (信心度: 80.9%) [已评估]
sz002019: 81.4分, ¥15.16, BUY (信心度: 81.4%) [已评估]
sz000426: 82.4分, ¥18.82, BUY (信心度: 82.4%) [已评估]
sz000635: 82.2分, ¥9.41, BUY (信心度: 82.2%) [已评估]
sz000985: 82.0分, ¥19.30, BUY (信心度: 82.0%) [已评估]
sz000055: 81.6分, ¥4.26, BUY (信心度: 81.6%) [已评估]
sz002672: 81.2分, ¥4.78, BUY (信心度: 81.2%) [已评估]
sz003039: 80.9分, ¥14.15, BUY (信心度: 80.9%) [已评估]
sz000637: 82.2分, ¥4.29, BUY (信心度: 82.2%) [已评估]
sz000420: 82.0分, ¥4.18, BUY (信心度: 82.0%) [已评估]
sz002749: 82.1分, ¥15.42, BUY (信心度: 82.1%) [已评估]
sz000545: 81.9分, ¥2.89, BUY (信心度: 81.9%) [已评估]
sh603385: 80.9分, ¥7.19, BUY (信心度: 80.9%) [已评估]
sz000652: 81.8分, ¥4.57, BUY (信心度: 81.8%) [已评估]
sh603909: 80.9分, ¥10.72, BUY (信心度: 80.9%) [已评估]
sh600252: 81.6分, ¥2.91, BUY (信心度: 81.6%) [已评估]
sh601996: 82.7分, ¥2.33, BUY (信心度: 82.7%) [已评估]
sz300664: 81.4分, ¥5.63, BUY (信心度: 81.4%) [已评估]
sh600037: 81.1分, ¥8.86, BUY (信心度: 81.1%) [已评估]
sh603685: 81.1分, ¥15.72, BUY (信心度: 81.1%) [已评估]
sz002344: 81.6分, ¥4.52, BUY (信心度: 81.6%) [已评估]
sz000952: 81.8分, ¥7.14, BUY (信心度: 81.8%) [已评估]
sz002671: 82.7分, ¥4.97, BUY (信心度: 82.7%) [已评估]
sz002673: 81.2分, ¥8.63, BUY (信心度: 81.2%) [已评估]
sz002753: 82.5分, ¥7.51, BUY (信心度: 82.5%) [已评估]
sz000852: 81.6分, ¥7.01, BUY (信心度: 81.6%) [已评估]
sz000825: 82.4分, ¥4.27, BUY (信心度: 82.4%) [已评估]
sz003017: 81.5分, ¥31.70, BUY (信心度: 81.5%) [已评估]
sz002278: 82.9分, ¥9.97, BUY (信心度: 82.9%) [已评估]
sz000965: 81.2分, ¥4.49, BUY (信心度: 81.2%) [已评估]
sz002028: 81.9分, ¥79.82, BUY (信心度: 81.9%) [已评估]
sz002107: 81.6分, ¥7.22, BUY (信心度: 81.6%) [已评估]
sz300195: 80.3分, ¥8.22, BUY (信心度: 80.3%) [已评估]
sz000590: 82.5分, ¥13.09, BUY (信心度: 82.5%) [已评估]
sz002913: 80.3分, ¥38.98, BUY (信心度: 80.3%) [已评估]
sz000899: 81.2分, ¥9.49, BUY (信心度: 81.2%) [已评估]
sz000878: 81.8分, ¥13.65, BUY (信心度: 81.8%) [已评估]
sh603311: 80.9分, ¥12.07, BUY (信心度: 80.9%) [已评估]
sz002802: 81.1分, ¥14.13, BUY (信心度: 81.1%) [已评估]
sh600959: 81.5分, ¥3.64, BUY (信心度: 81.5%) [已评估]
sz002736: 81.7分, ¥13.76, BUY (信心度: 81.7%) [已评估]
sz300741: 82.3分, ¥19.40, BUY (信心度: 82.3%) [已评估]
sh600097: 83.3分, ¥11.26, BUY (信心度: 83.3%) [已评估]
sz002320: 82.0分, ¥8.06, BUY (信心度: 82.0%) [已评估]
sz002627: 82.5分, ¥5.55, BUY (信心度: 82.5%) [已评估]
sz000014: 83.1分, ¥12.95, BUY (信心度: 83.1%) [已评估]
sz002166: 82.3分, ¥8.36, BUY (信心度: 82.3%) [已评估]
sz001218: 82.4分, ¥19.60, BUY (信心度: 82.4%) [已评估]
sh600791: 81.9分, ¥5.12, BUY (信心度: 81.9%) [已评估]
sh601236: 81.7分, ¥9.03, BUY (信心度: 81.7%) [已评估]
sz002826: 81.6分, ¥22.81, BUY (信心度: 81.6%) [已评估]
sz000960: 81.6分, ¥18.40, BUY (信心度: 81.6%) [已评估]
sz002778: 82.8分, ¥19.14, BUY (信心度: 82.8%) [已评估]
sz000906: 80.9分, ¥6.61, BUY (信心度: 80.9%) [已评估]
sz002616: 81.2分, ¥6.34, BUY (信心度: 81.2%) [已评估]
sz002624: 80.6分, ¥15.21, BUY (信心度: 80.6%) [已评估]
sz000988: 81.9分, ¥51.38, BUY (信心度: 81.9%) [已评估]
sz300616: 81.7分, ¥14.08, BUY (信心度: 81.7%) [已评估]
sz000719: 82.8分, ¥13.02, BUY (信心度: 82.8%) [已评估]
sz002573: 81.7分, ¥4.10, BUY (信心度: 81.7%) [已评估]
sz002083: 82.4分, ¥5.01, BUY (信心度: 82.4%) [已评估]
sz002204: 82.1分, ¥6.48, BUY (信心度: 82.1%) [已评估]
sz002364: 81.9分, ¥18.30, BUY (信心度: 81.9%) [已评估]
sh600711: 81.0分, ¥7.96, BUY (信心度: 81.0%) [已评估]
sz000570: 82.6分, ¥6.05, BUY (信心度: 82.6%) [已评估]
sh600768: 80.7分, ¥13.06, BUY (信心度: 80.7%) [已评估]
sz002298: 80.8分, ¥7.78, BUY (信心度: 80.8%) [已评估]
sz300138: 81.9分, ¥13.49, BUY (信心度: 81.9%) [已评估]
sz002939: 81.3分, ¥9.00, BUY (信心度: 81.3%) [已评估]
sz300018: 81.6分, ¥8.58, BUY (信心度: 81.6%) [已评估]
sz300425: 82.2分, ¥5.61, BUY (信心度: 82.2%) [已评估]
sz300244: 81.7分, ¥16.06, BUY (信心度: 81.7%) [已评估]
sz000697: 81.6分, ¥8.10, BUY (信心度: 81.6%) [已评估]
sz002367: 81.5分, ¥7.50, BUY (信心度: 81.5%) [已评估]
sz300181: 81.8分, ¥20.39, BUY (信心度: 81.8%) [已评估]
sz000530: 83.0分, ¥6.87, BUY (信心度: 83.0%) [已评估]
sz002783: 81.8分, ¥10.52, BUY (信心度: 81.8%) [已评估]
sz000932: 82.1分, ¥5.85, BUY (信心度: 82.1%) [已评估]
sz300381: 81.7分, ¥7.99, BUY (信心度: 81.7%) [已评估]
sz002247: 82.2分, ¥2.84, BUY (信心度: 82.2%) [已评估]
sz000911: 82.0分, ¥7.68, BUY (信心度: 82.0%) [已评估]
sz000529: 81.7分, ¥6.34, BUY (信心度: 81.7%) [已评估]
sz300749: 82.1分, ¥9.31, BUY (信心度: 82.1%) [已评估]
sz002135: 82.1分, ¥4.45, BUY (信心度: 82.1%) [已评估]
sz002788: 81.3分, ¥8.72, BUY (信心度: 81.3%) [已评估]
sz001368: 82.1分, ¥25.66, BUY (信心度: 82.1%) [已评估]
sz000409: 82.0分, ¥12.84, BUY (信心度: 82.0%) [已评估]
sz002817: 82.3分, ¥8.30, BUY (信心度: 82.3%) [已评估]
sz003003: 81.7分, ¥12.75, BUY (信心度: 81.7%) [已评估]
sz001219: 80.8分, ¥14.35, BUY (信心度: 80.8%) [已评估]
sz002545: 81.5分, ¥9.94, BUY (信心度: 81.5%) [已评估]
sz002722: 82.0分, ¥17.19, BUY (信心度: 82.0%) [已评估]
sz002102: 82.4分, ¥4.14, BUY (信心度: 82.4%) [已评估]
sz002957: 80.8分, ¥17.28, BUY (信心度: 80.8%) [已评估]
sz002275: 82.2分, ¥15.54, BUY (信心度: 82.2%) [已评估]
sz000619: 82.1分, ¥6.52, BUY (信心度: 82.1%) [已评估]
sz002780: 80.6分, ¥13.96, BUY (信心度: 80.6%) [已评估]
sz002562: 81.3分, ¥6.21, BUY (信心度: 81.3%) [已评估]
sz002001: 81.7分, ¥22.60, BUY (信心度: 81.7%) [已评估]
sz002670: 82.1分, ¥16.13, BUY (信心度: 82.1%) [已评估]
