=== MACD_ZERO_AXIS 策略筛选报告 ===
扫描时间: 2025-08-12 12:10:16
处理文件数: 8968
处理耗时: 1.87 秒
发现信号数: 376
历史信号总数: 2463
平均胜率: 43.3%
平均收益率: 20.1%
平均达峰天数: 17.6 天

=== 信号状态分布 ===
PRE: 123 个
MID: 126 个
POST: 127 个

=== 前10名表现最佳股票 ===
 1. sz300521 - 胜率: 100.0%, 收益: 99.5%, 天数: 18.0 天
 2. sz000652 - 胜率: 50.0%, 收益: 62.6%, 天数: 16.0 天
 3. sz002141 - 胜率: 66.7%, 收益: 54.4%, 天数: 21.2 天
 4. sz300546 - 胜率: 20.0%, 收益: 51.2%, 天数: 28.0 天
 5. sh688496 - 胜率: 66.7%, 收益: 51.1%, 天数: 16.5 天
 6. sz002580 - 胜率: 50.0%, 收益: 47.6%, 天数: 23.5 天
 7. sz002654 - 胜率: 42.9%, 收益: 47.3%, 天数: 17.3 天
 8. sh603799 - 胜率: 66.7%, 收益: 46.2%, 天数: 31.0 天
 9. sh600169 - 胜率: 100.0%, 收益: 45.6%, 天数: 15.0 天
10. sh603527 - 胜率: 83.3%, 收益: 45.4%, 天数: 16.6 天

=== 深度扫描结果 (多线程) ===
深度分析成功: 376/376
sz000036: 81.2分, ¥3.78, BUY (信心度: 81.2%) [已评估]
sz000159: 82.7分, ¥5.96, BUY (信心度: 82.7%) [已评估]
sz000898: 81.1分, ¥2.81, BUY (信心度: 81.1%) [已评估]
sz000026: 80.9分, ¥19.49, BUY (信心度: 80.9%) [已评估]
sz000839: 81.5分, ¥2.76, BUY (信心度: 81.5%) [已评估]

=== 买入推荐股票 ===
sh600809: 73.7分, ¥186.62, 信心度: 73.7%
sh688612: 74.1分, ¥33.58, 信心度: 74.1%
sh688077: 73.3分, ¥33.20, 信心度: 73.3%
sh603517: 74.3分, ¥15.98, 信心度: 74.3%
sh603719: 78.3分, ¥13.59, 信心度: 78.3%
sh688006: 70.6分, ¥21.47, 信心度: 70.6%
sh601155: 79.3分, ¥15.96, 信心度: 79.3%
sh688148: 72.0分, ¥6.05, 信心度: 72.0%
sh600197: 80.9分, ¥15.63, 信心度: 80.9%
sh603373: 74.3分, ¥51.07, 信心度: 74.3%
sh603798: 82.0分, ¥12.68, 信心度: 82.0%
sh600268: 82.4分, ¥10.28, 信心度: 82.4%
sh688310: 74.3分, ¥18.58, 信心度: 74.3%
sh600540: 76.4分, ¥5.14, 信心度: 76.4%
sh603898: 75.1分, ¥11.46, 信心度: 75.1%
sh600289: 77.0分, ¥6.95, 信心度: 77.0%
sh600770: 74.3分, ¥5.66, 信心度: 74.3%
sh603726: 81.5分, ¥19.03, 信心度: 81.5%
sh600679: 75.0分, ¥13.24, 信心度: 75.0%
sh600169: 74.9分, ¥2.48, 信心度: 74.9%
sh600800: 81.8分, ¥4.23, 信心度: 81.8%
sh600278: 82.0分, ¥7.87, 信心度: 82.0%
sh600665: 81.8分, ¥3.44, 信心度: 81.8%
sh601068: 82.3分, ¥5.14, 信心度: 82.3%
sh600076: 81.6分, ¥2.47, 信心度: 81.6%
sh601609: 81.4分, ¥8.63, 信心度: 81.4%
sh603336: 75.2分, ¥8.14, 信心度: 75.2%
sh600319: 82.3分, ¥7.32, 信心度: 82.3%
sh600507: 80.4分, ¥6.30, 信心度: 80.4%
sh600031: 81.1分, ¥21.00, 信心度: 81.1%
sh600864: 82.6分, ¥6.99, 信心度: 82.6%
sh603799: 73.6分, ¥44.86, 信心度: 73.6%
sh600545: 79.7分, ¥2.63, 信心度: 79.7%
sh600376: 80.5分, ¥2.83, 信心度: 80.5%
sh600006: 75.4分, ¥7.64, 信心度: 75.4%
sh603138: 70.4分, ¥16.01, 信心度: 70.4%
sh603338: 71.8分, ¥51.79, 信心度: 71.8%
sh603535: 80.6分, ¥12.63, 信心度: 80.6%
sh600405: 76.0分, ¥6.82, 信心度: 76.0%
sh600159: 82.7分, ¥2.99, 信心度: 82.7%
sh600662: 81.5分, ¥6.04, 信心度: 81.5%
sh688538: 81.2分, ¥2.66, 信心度: 81.2%
sh600478: 75.8分, ¥5.90, 信心度: 75.8%
sh601121: 81.3分, ¥6.83, 信心度: 81.3%
sh600419: 81.9分, ¥11.21, 信心度: 81.9%
sh600717: 81.7分, ¥4.92, 信心度: 81.7%
sh600409: 81.2分, ¥5.72, 信心度: 81.2%
sh600962: 82.2分, ¥20.68, 信心度: 82.2%
sh600666: 74.3分, ¥4.16, 信心度: 74.3%
sh603818: 75.5分, ¥4.78, 信心度: 75.5%
sh688410: 74.3分, ¥17.27, 信心度: 74.3%
