group,stock_code,t0_date,buy_price,fine_score,status,entry_price,entry_day,stop_loss,tp1,tp2,median,upper,lower,exit_price,exit_reason,trigger_signal,pnl_pct,mfe,mae,hold_days,month,future_mfe_raw,hold_return_raw
operable_filtered,bj920670,2025-05-23 00:00:00,15.109966994711536,0.564411628889099,traded,15.349174915472142,1.0,14.330281498438566,15.612267694438655,15.838500552556319,15.15980197820333,15.612267694438655,14.707336261968004,15.612267694438655,initial_tp,,0.017140516048280485,0.03766233766233768,-0.035714285714285726,2.0,2025-05,0.066019417475728,-0.0204485488126648
operable_filtered,sz300344,2025-05-26 00:00:00,4.45,0.7812117416030886,traded,4.47,1.0,4.378549181243613,4.921700446594394,5.017550669891591,4.73,4.921700446594394,4.538299553405607,4.4,dynamic_stop,D4,-0.015659955257270597,0.022371364653243967,-0.024608501118568108,1.0,2025-05,0.0335570469798658,-0.0764044943820224
operable_filtered,sz300472,2025-05-28 00:00:00,3.5,0.5102633128264072,traded,3.13,7.0,3.0352585258458533,3.2280408040840802,3.2620612061261203,3.16,3.2280408040840802,3.09195919591592,3.11,dynamic_stop,D4,-0.006389776357827448,0.028753993610223738,-0.0575079872204472,3.0,2025-05,0.0514285714285713,-0.1257142857142856
operable_filtered,sh603398,2025-05-29 00:00:00,5.33,0.6624044580374756,traded,5.08,3.0,5.226060138681776,5.649421742537213,5.7241326138058195,5.5,5.649421742537213,5.350578257462787,4.8,dynamic_stop,D4,-0.055118110236220486,0.003937007874015664,-0.07874015748031503,1.0,2025-05,0.0542495479204339,0.048780487804878
operable_filtered,bj920493,2025-06-06 00:00:00,162.0,0.7868551822635215,traded,148.0,6.0,138.5986985855745,161.0098007715048,164.96470115725722,153.1,161.0098007715048,145.19019922849517,146.0,dynamic_stop,D4,-0.013513513513513487,0.030405405405405407,-0.030878378378378334,2.0,2025-06,0.0328397420587533,-0.0796296296296297
operable_filtered,sz300844,2025-06-12 00:00:00,51.2,0.51865985458649,traded,43.46,6.0,42.3695580625173,49.3247865113542,50.5521797670313,46.87,49.3247865113542,44.4152134886458,43.73,dynamic_stop,D4,0.006212609295904281,0.011044638748274204,-0.026231017027151415,1.0,2025-06,0.0072791658469408,-0.1439453125000001
operable_filtered,sz300561,2025-06-16 00:00:00,12.55,0.760113737090762,traded,12.34,2.0,12.662894237747736,13.554784961228508,13.712177441842762,13.24,13.554784961228508,12.925215038771492,11.78,dynamic_stop,D4,-0.04538087520259326,0.0016207455429497223,-0.09400324149108591,1.0,2025-06,0.1363636363636364,-0.0653386454183266
operable_filtered,sz002630,2025-06-19 00:00:00,2.58,0.5292446887273092,traded,2.56,2.0,2.504185290084662,2.667717114499275,2.6965756717489127,2.61,2.667717114499275,2.5522828855007247,2.58,dynamic_stop,D4,0.0078125,0.01953124999999993,-0.011718750000000097,1.0,2025-06,0.1264367816091953,0.0581395348837208
operable_filtered,sz300344,2025-06-24 00:00:00,3.91,0.7173626273239699,traded,4.0,1.0,4.169188777934542,4.324987939308431,4.3524819089626465,4.27,4.324987939308431,4.215012060691568,4.08,dynamic_stop,D4,0.020000000000000018,0.05750000000000011,-0.007499999999999951,1.0,2025-06,0.6446700507614214,0.4168797953964194
operable_filtered,bj920305,2025-06-26 00:00:00,12.1,0.647024617608647,traded,12.66,4.0,11.6472,13.293000000000001,13.926000000000002,11.47,12.39193939328893,10.548060606711072,13.293000000000001,initial_tp,,0.050000000000000044,0.3546603475513427,-0.040284360189573445,1.0,2025-06,0.6719745222929936,0.4520661157024794
operable_filtered,bj920305,2025-06-27 00:00:00,11.71,0.6367228475416985,traded,12.66,3.0,11.6472,13.293000000000001,13.926000000000002,11.47,12.39193939328893,10.548060606711072,13.293000000000001,initial_tp,,0.050000000000000044,0.3546603475513427,-0.040284360189573445,1.0,2025-06,0.8308631211857018,0.4090520922288641
operable_filtered,sz300468,2025-07-07 00:00:00,47.70314082695157,0.7711714596329042,traded,44.15035460636689,5.0,40.61832623785754,47.43436169388125,48.647236564927354,45.008611951789035,47.43436169388125,42.58286220969682,43.1024822660259,dynamic_stop,D4,-0.02373417721518989,0.02554249547920425,-0.07707956600361662,4.0,2025-07,0.0682004930156121,-0.204602510460251
operable_filtered,sz301176,2025-07-17 00:00:00,34.69,0.6015565996528419,traded,31.76,4.0,29.933601771626325,34.84258085184018,35.708871277760274,33.11,34.84258085184018,31.377419148159813,32.03,dynamic_stop,D4,0.00850125944584379,0.054785894206549064,-0.027707808564231818,1.0,2025-07,0.045221843003413,0.0074949553185357
operable_filtered,sh688382,2025-07-29 00:00:00,46.99,0.5265463360966788,traded,44.46,4.0,40.94363387355349,45.048926978061736,45.773390467092604,43.6,45.048926978061736,42.15107302193827,43.2,initial_stop,,-0.028340080971659853,0.012145748987854232,-0.041835357624831294,1.0,2025-07,0.0570212765957447,-0.1966375824643541
operable_filtered,sh603716,2025-08-01 00:00:00,31.29,0.8000405956115828,traded,27.59,5.0,26.730498128758956,28.769728293404206,29.129592440106308,28.05,28.769728293404206,27.330271706595795,28.769728293404206,initial_tp,,0.042759271236107566,0.13446901051105475,-0.0014498006524102628,1.0,2025-08,0.1957340025094103,-0.0236497283477148
operable_filtered,bj920925,2025-08-05 00:00:00,25.5,0.5795073028777545,traded,24.18,6.0,23.449238993400115,25.15041509450903,25.450622641763545,24.55,25.15041509450903,23.949584905490973,25.15041509450903,initial_tp,,0.040132965033458534,0.08643507030603804,-0.0041356492969396785,1.0,2025-08,0.2551020408163265,0.1141176470588234
operable_filtered,sh603716,2025-08-11 00:00:00,31.3,0.6728449369686582,traded,29.8,5.0,28.00705500676198,30.314333632675282,30.72150044901292,29.5,30.314333632675282,28.685666367324718,30.314333632675282,initial_tp,,0.017259517875009456,0.10268456375838922,-0.02651006711409393,1.0,2025-08,0.2555994729907773,-0.0830670926517572
