trade_idx,stock_code,t0_date,entry_price,day_idx,date,code,type,severity,day_high,day_low,day_close,current_stop,pnl_at_signal,level
440,bj920807,2025-07-01 00:00:00,14.359232693911594,5,2025-07-14,E1,exhaustion,reduce,20.70585487906589,18.405204336947456,18.76220183486239,13.210494078398666,0.3066298342541438,
441,sh688136,2025-07-01 00:00:00,48.85,2,2025-07-07,D4,danger,exit,50.16,41.45,42.86,44.942,-0.12262026612077792,
442,sz002015,2025-07-01 00:00:00,12.91969183359014,6,2025-07-11,D2,danger,exit,13.36,12.93,13.01,11.886116486902928,0.006989962885574963,
443,sz002235,2025-07-01 00:00:00,9.97,1,2025-07-04,D4,danger,exit,10.12,9.35,9.43,9.1724,-0.054162487462387277,
444,bj920047,2025-07-01 00:00:00,21.79,5,2025-07-10,D2,danger,exit,22.7,21.56,22.09,20.09622055974578,0.013767783386874788,
445,bj920634,2025-07-01 00:00:00,28.72791995787256,2,2025-07-09,D4,danger,exit,30.130494997367034,28.399657714586624,28.4493944181148,26.42968636124276,-0.009695290858725558,
446,sh605151,2025-07-02 00:00:00,18.58,4,2025-07-11,E1,exhaustion,reduce,19.36,19.04,19.21,17.35701679763812,0.0339074273412272,
447,bj920088,2025-07-02 00:00:00,40.3,1,2025-07-08,E1,exhaustion,reduce,40.77,39.86,40.33,37.076,0.0007444168734491718,
448,bj920634,2025-07-02 00:00:00,28.72791995787256,7,2025-07-16,D2,danger,exit,28.976603475513425,28.250447604002105,28.737867298578198,26.42968636124276,0.0003462603878117143,
451,sz002015,2025-07-02 00:00:00,12.91969183359014,6,2025-07-11,D2,danger,exit,13.36,12.93,13.01,11.886116486902928,0.006989962885574963,
452,bj920392,2025-07-03 00:00:00,21.65,5,2025-07-17,S1,strength,,26.6,22.9,25.97,19.918,0.1995381062355659,strong
454,sh603151,2025-07-03 00:00:00,21.101502472027065,1,2025-07-07,E1,exhaustion,reduce,21.537197501951603,20.59649232370544,21.200524069737188,19.4133822742649,0.004692632566870136,
455,bj920305,2025-07-04 00:00:00,15.1,9,2025-07-28,D4,danger,exit,16.6,15.15,15.26,13.892,0.01059602649006619,
456,bj920392,2025-07-04 00:00:00,21.65,5,2025-07-17,S1,strength,,26.6,22.9,25.97,19.918,0.1995381062355659,strong
457,bj920047,2025-07-04 00:00:00,22.03,5,2025-07-17,S1,strength,,23.55,22.24,22.89,20.2676,0.03903767589650475,strong
457,bj920047,2025-07-04 00:00:00,22.03,6,2025-07-18,E1,exhaustion,reduce,22.99,22.23,22.59,21.56391766072818,0.025419881979119374,
458,bj920299,2025-07-07 00:00:00,22.54026282644211,2,2025-07-15,D4,danger,exit,22.043781266388322,21.08060703988397,21.408284869519466,20.737041800326743,-0.05022026431718063,
459,sz301024,2025-07-07 00:00:00,57.02,1,2025-07-11,D4,danger,exit,62.53,53.24,53.48,52.458400000000005,-0.062083479480883996,
460,bj920106,2025-07-07 00:00:00,100.90538365229834,1,2025-07-14,D4,danger,exit,102.38928635306743,97.3736952244679,97.54187086388838,92.83295296011448,-0.03333333333333355,
461,bj920505,2025-07-07 00:00:00,76.97678778304372,3,2025-07-15,E1,exhaustion,reduce,78.79199578725645,73.5159241706161,74.71276461295419,70.81864476040022,-0.02941176470588247,
463,sz002882,2025-07-07 00:00:00,31.92,1,2025-07-16,E1,exhaustion,reduce,32.37,31.62,31.96,29.3664,0.0012531328320801727,
464,bj920914,2025-07-08 00:00:00,28.88,2,2025-07-15,D4,danger,exit,30.5,28.1,28.58,26.5696,-0.010387811634349098,
465,sz002721,2025-07-08 00:00:00,4.79,1,2025-07-10,D4,danger,exit,5.05,4.41,4.5,4.4068000000000005,-0.06054279749478075,
