signal_idx,stock_code,t0_date,zone_tag,dd_tier,position_ratio,trend_tag,golden_trend_t0,status,target_entry_price,actual_entry_price,entry_day_idx,tp_price,sl_price,exit_price,exit_day_idx,exit_reason,pnl
2447,sh600376,2025-09-10,high_trap,0~3%,1.0,bull_aligned,2.4005,high_trap_skip,,,,,,,,,
2448,sz300450,2025-09-10,high_trap,5~10%,0.9594,bull_aligned,25.0207,high_trap_skip,,,,,,,,,
2449,sh605298,2025-09-10,high_trap,10~15%,1.0,bull_aligned,18.9362,high_trap_skip,,,,,,,,,
2450,bj920896,2025-09-10,high_zone,15~20%,0.7833,bull_aligned,17.39,simulated,24.8805,24.8805,0.0,28.846451700000003,22.238190900000003,22.238190900000003,6.0,sl,-0.1062
2451,sh603119,2025-09-10,high_trap,10~15%,0.894,bull_aligned,41.1516,high_trap_skip,,,,,,,,,
2452,sh601069,2025-09-10,high_zone,10~15%,0.7999,bull_aligned,18.5449,observe_expire,26.695,,,,,,,observe_expire,
2453,sz300870,2025-09-10,main_wave,15~20%,0.6311,neutral,107.1293,observe_expire,133.29099,,,,,,,observe_expire,
2454,sz301617,2025-09-10,high_trap,>20%,0.9438,bull_aligned,30.1365,high_trap_skip,,,,,,,,,
2455,bj920679,2025-09-10,high_zone,15~20%,0.7022,bull_aligned,18.2978,simulated,23.782965,23.782965,3.0,27.573969621,21.257214117,21.257214117,16.0,sl,-0.1062
2456,sz002837,2025-09-10,high_zone,5~10%,0.75,bull_aligned,36.4425,observe_expire,50.423719999999996,,,,,,,observe_expire,
2457,sz002017,2025-09-10,main_wave,15~20%,0.6367,neutral,22.2022,observe_expire,23.27292,,,,,,,observe_expire,
2458,sz300528,2025-09-10,main_wave,>20%,0.6859,bull_aligned,13.9869,observe_expire,19.305,,,,,,,observe_expire,
2459,sz300394,2025-09-10,high_zone,15~20%,0.7181,bull_aligned,69.6206,observe_expire,116.901585,,,,,,,observe_expire,
