position_ratio,zone_tag,trend_tag,bbi_value,ma13,ma55,ma13_slope,atr20,atr20_pct,vol_tag,golden_trend_t0,gt_n,gt_k,gt_offset,last_close,ma30,ma45,ma90,ma150,ma240,dist_ma30,dist_ma90,dist_ma150,dist_ma240,slope_ma30,slope_ma90,slope_ma240,support_score,ma_zone,macd_hist,macd_hist_slope,macd_hist_accel,rsi_value,rsi_slope,kdj_j,kdj_j_slope,kdj_k,signal_idx,stock_code,t0_date,data_source,pre_bars
0.5391,main_wave,bull_aligned,7.791,7.9167,7.6633,0.4948,0.3806,0.043,medium,6.1226,21.0,2.0,0.95,8.8477,7.3712,7.2746,7.9709,,,0.2003,0.11,,,0.038748,0.023792,0.0,4.0,transition,0.2383,0.1593,0.1275,70.73,14.7183,86.54,-1.7436,87.48,92,bj920455,2025-02-28,60m,132
0.8734,high_trap,bull_aligned,15.2579,15.1246,12.7761,2.3898,1.5178,0.0644,high,9.7036,20.0,2.0,0.95,23.5698,13.2325,12.5365,12.6894,,,0.7812,0.8574,,,0.10396,0.039828,0.0,4.0,transition,2.3676,1.8459,1.2982,87.24,27.5124,91.55,13.7636,85.7,93,bj920663,2025-02-28,60m,132
0.51,main_wave,bull_aligned,15.7966,16.2954,16.0182,1.1008,1.2595,0.0762,high,11.4518,22.0,2.0,0.95,16.53,15.16,15.3102,15.4551,,,0.0904,0.0695,,,0.018247,0.034079,0.0,4.0,transition,-0.0439,-0.1802,0.2817,56.05,-0.8747,63.19,2.8016,61.65,94,bj920284,2025-02-28,60m,132
0.8446,high_trap,bull_aligned,9.9719,10.0214,9.613,0.584,0.4931,0.0427,medium,7.9462,21.0,1.999,0.95,11.5481,9.4698,9.3331,9.9194,,,0.2195,0.1642,,,0.038062,0.013909,0.0,4.0,transition,0.3921,0.2041,0.0001,74.92,20.8569,88.46,-11.5068,87.06,95,bj920089,2025-02-28,60m,132
0.7173,high_zone,bull_aligned,27.6427,28.5581,25.3403,2.7269,2.2268,0.0711,high,19.0546,21.0,2.0,0.95,31.333,25.194,25.3235,23.5583,,,0.2437,0.33,,,0.040862,0.051373,0.0,4.0,transition,0.41,-0.2484,-0.2694,67.51,4.9453,91.44,6.3142,82.94,96,bj920522,2025-02-28,60m,132
1.0,high_trap,bull_aligned,57.9405,56.4765,42.167,14.1835,6.7534,0.0705,high,29.9314,20.0,2.0,0.95,95.7695,45.4526,41.9912,38.8887,,,1.107,1.4627,,,0.184877,0.074738,0.0,4.0,transition,9.3682,2.0568,-5.0106,84.13,8.722,98.48,-1.3139,92.88,97,bj920002,2025-02-28,60m,132
0.6607,main_wave,bull_aligned,5.154,5.1992,5.1125,0.3608,0.26,0.0433,medium,4.0723,21.0,2.0,0.95,6.01,4.8797,4.862,5.2091,,,0.2316,0.1537,,,0.032442,0.021884,0.0,4.0,transition,0.2212,0.1269,0.081,73.1,19.7018,94.41,-2.6573,87.84,98,bj920023,2025-02-28,60m,132
1.0,high_trap,bull_aligned,8.0284,8.1544,7.2581,1.1824,0.6875,0.0608,high,5.4083,22.0,2.0,0.95,11.3143,7.0845,6.9544,7.6963,,,0.597,0.4701,,,0.074188,0.020736,0.0,4.0,transition,0.6813,0.3599,0.2976,81.47,17.2346,99.71,4.4311,90.83,99,bj920810,2025-02-28,60m,132
0.9385,high_trap,bull_aligned,4.7002,4.7677,4.602,0.5762,0.331,0.0522,medium,3.4534,22.0,2.0,0.95,6.34,4.2413,4.4604,4.4582,,,0.4948,0.4221,,,0.042524,0.024826,0.0,4.0,transition,0.4578,0.3689,0.4064,80.12,26.7934,108.07,23.986,96.65,100,sh600589,2025-02-28,60m,132
0.6038,main_wave,bull_aligned,28.4635,29.8615,26.4446,1.9355,2.5812,0.086,high,19.19,22.0,2.0,0.95,30.0163,26.2773,25.5896,25.9871,,,0.1423,0.155,,,0.0486,0.032576,0.0,4.0,transition,-0.4362,-0.5641,-0.3873,58.48,-1.1325,58.31,-10.559,59.01,101,bj920508,2025-02-28,60m,132
0.5356,main_wave,bull_aligned,26.6853,27.3955,25.8128,1.8643,1.7484,0.061,high,20.103,22.0,2.0,0.95,28.6809,25.2149,24.9855,25.8488,,,0.1375,0.1096,,,0.036464,0.02705,0.0,4.0,transition,0.1259,-0.3384,-0.3448,61.86,1.8868,75.38,-3.2872,71.16,102,bj920779,2025-02-28,60m,132
0.9441,high_trap,bull_aligned,15.7818,15.9135,14.7207,1.2577,0.9629,0.0475,medium,11.9015,20.0,2.0,0.95,20.2669,14.6512,14.1959,14.8602,,,0.3833,0.3638,,,0.047282,0.025961,0.0,4.0,transition,1.0268,0.7908,0.5367,80.75,23.5887,91.9,-7.1588,88.06,103,bj920690,2025-02-28,60m,132
0.8592,high_trap,bull_aligned,26.9087,27.0812,23.9797,2.7989,2.0665,0.0672,high,18.7807,20.0,2.0,0.95,30.7655,24.3536,23.4894,25.0349,,,0.2633,0.2289,,,0.075388,0.018019,0.0,4.0,transition,0.9915,-0.0964,-0.8659,70.82,3.8492,80.07,2.2997,80.84,104,bj920239,2025-02-28,60m,132
0.5782,main_wave,bull_aligned,19.5168,20.1532,17.9161,1.4039,1.3121,0.0628,high,14.1756,20.0,2.0,0.95,20.8956,17.9437,17.4878,18.17,,,0.1645,0.15,,,0.054851,0.033095,0.0,4.0,transition,-0.0634,-0.4299,-0.5195,61.76,-2.7578,77.61,-10.6103,76.69,105,bj920237,2025-02-28,60m,132
0.6439,main_wave,bull_aligned,12.1535,12.6695,11.2759,1.1073,0.8847,0.0704,high,8.7037,21.0,2.0,0.95,12.5669,11.2101,10.9945,11.3557,,,0.121,0.1067,,,0.047288,0.027177,0.0,4.0,transition,-0.1957,-0.3927,-0.1144,56.08,-3.721,57.42,-17.766,61.94,106,bj920299,2025-02-28,60m,132
0.8602,high_trap,bull_aligned,15.5172,15.5362,13.9376,1.8459,1.1871,0.0656,high,10.87,21.0,2.0,0.95,18.0964,13.9483,13.5334,13.9856,,,0.2974,0.2939,,,0.066074,0.029208,0.0,4.0,transition,0.8901,0.5826,0.6561,68.35,-1.7649,82.79,5.9726,84.15,107,bj920706,2025-02-28,60m,132
0.446,main_wave,bull_aligned,29.9099,30.5069,28.9404,1.9395,2.1182,0.0643,high,22.184,22.0,2.0,0.95,32.9218,28.4761,28.1814,32.4829,,,0.1561,0.0135,,,0.038549,0.033468,0.0,4.0,transition,0.5942,0.0333,-0.6346,60.87,8.4905,81.99,-17.5033,77.28,108,bj920971,2025-02-28,60m,132
1.0,high_trap,bull_aligned,14.8728,14.7411,12.7232,2.1596,1.0081,0.05,medium,10.8091,20.0,1.937,0.98,20.1516,13.0401,12.7409,12.4521,,,0.5454,0.6183,,,0.076814,0.035808,0.0,4.0,transition,1.3852,0.6613,0.714,80.93,10.7262,103.1,20.6234,98.24,109,sz000096,2025-02-28,60m,132
0.5331,main_wave,bull_aligned,14.3104,14.6668,13.8703,0.8665,0.7941,0.0481,medium,10.8452,22.0,2.0,0.95,16.5072,13.4212,13.2466,13.6399,,,0.2299,0.2102,,,0.045182,0.026681,0.0,4.0,transition,0.3258,0.2508,0.2818,68.79,11.3278,85.34,-1.9067,85.88,110,bj920527,2025-02-28,60m,132
0.6754,main_wave,bull_aligned,29.2482,30.4656,26.4752,1.3504,2.9184,0.0901,high,19.6219,21.0,2.0,0.95,32.3775,26.9987,25.8416,26.4059,,,0.1992,0.2262,,,0.058305,0.036776,0.0,4.0,transition,0.256,0.7379,1.2598,63.46,-0.5864,78.89,25.9577,71.6,111,bj920508,2025-03-03,60m,134
0.6946,main_wave,bull_aligned,17.03,16.6533,13.0418,3.4309,1.9308,0.0903,high,9.6756,20.0,2.0,0.95,21.3837,13.9988,13.0381,13.0052,,,0.5275,0.6443,,,0.139783,0.056564,0.0,4.0,transition,1.8728,0.237,-1.2168,70.2,-1.2653,60.83,-42.7563,71.87,112,bj920663,2025-03-03,60m,134
1.0,high_trap,bull_aligned,17.4606,17.7577,16.1376,2.09,1.731,0.062,high,11.4249,23.0,2.0,0.95,27.92,15.822,15.6338,15.8593,,,0.7646,0.7605,,,0.058942,0.047827,0.0,4.0,transition,2.472,2.5564,2.8524,84.07,28.3554,109.97,54.4628,90.41,113,bj920284,2025-03-03,60m,134
